mod;04.05.2015;07:24:58
usr;export
cpt;server
exe;INTREST_Export
lib;1
mrv;1
dvn;0
chs;ISO_LATIN_1
dss;full
dbn;ITSGMA120709
uid;14
cid;1
typ;R
eoh;

tbl;Node
atr;NODE_ID;LEVEL;VIRTUAL_TYPE;X;Y;VIRT_LINKID;VIRT_PERCENT;BIKE_DELAY;STATUS;NODE_OBJECTID;VIRT_LINK_OBJECTID
frm;decimal(10);decimal(3,1);decimal(1);decimal(9,7);decimal(9,7);decimal(10);decimal(7,4);decimal(3);string(1);decimal(20);decimal(20)
rec;10349552;0.0;0;16.3319521;48.2062568;-1;-1.0000;-1;"U";10349552;-1
rec;10349555;0.0;0;16.3256338;48.2045248;-1;-1.0000;-1;"U";10349555;-1
rec;10349556;0.0;0;16.3263355;48.2044579;-1;-1.0000;-1;"U";10349556;-1
rec;10349557;0.0;0;16.3271367;48.2043686;-1;-1.0000;-1;"U";10349557;-1
rec;10349558;0.0;0;16.3281206;48.2042591;-1;-1.0000;-1;"U";10349558;-1
rec;10349559;0.0;0;16.3301483;48.2040456;-1;-1.0000;-1;"U";10349559;-1
rec;10349560;0.0;0;16.3300882;48.2038393;-1;-1.0000;-1;"U";10349560;-1
rec;10349561;0.0;0;16.3313448;48.2038309;-1;-1.0000;-1;"U";10349561;-1
rec;10349563;0.0;0;16.3255094;48.2035675;-1;-1.0000;-1;"U";10349563;-1
rec;10349564;0.0;0;16.3262531;48.2035338;-1;-1.0000;-1;"U";10349564;-1
rec;10349565;0.0;0;16.3269969;48.2035053;-1;-1.0000;-1;"U";10349565;-1
rec;10349566;0.0;0;16.3280018;48.2034632;-1;-1.0000;-1;"U";10349566;-1
rec;10349567;0.0;0;16.3280320;48.2036745;-1;-1.0000;-1;"U";10349567;-1
rec;10349568;0.0;0;16.3300176;48.2035565;-1;-1.0000;-1;"U";10349568;-1
rec;10349569;0.0;0;16.3299657;48.2032902;-1;-1.0000;-1;"U";10349569;-1
rec;10349570;0.0;0;16.3313822;48.2033448;-1;-1.0000;-1;"U";10349570;-1
rec;10349571;0.0;0;16.3279999;48.2030730;-1;-1.0000;-1;"U";10349571;-1
rec;10349572;0.0;0;16.3299220;48.2030676;-1;-1.0000;-1;"U";10349572;-1
rec;10349573;0.0;0;16.3298684;48.2028006;-1;-1.0000;-1;"U";10349573;-1
rec;10349574;0.0;0;16.3314202;48.2028518;-1;-1.0000;-1;"U";10349574;-1
rec;10349585;0.0;0;16.3252791;48.2017925;-1;-1.0000;-1;"U";10349585;-1
rec;10349586;0.0;0;16.3253584;48.2024096;-1;-1.0000;-1;"U";10349586;-1
rec;10349587;0.0;0;16.3261506;48.2023996;-1;-1.0000;-1;"U";10349587;-1
rec;10349588;0.0;0;16.3267166;48.2023601;-1;-1.0000;-1;"U";10349588;-1
rec;10349589;0.0;0;16.3268829;48.2024496;-1;-1.0000;-1;"U";10349589;-1
rec;10349590;0.0;0;16.3280494;48.2024160;-1;-1.0000;-1;"U";10349590;-1
rec;10349591;0.0;0;16.3298609;48.2021626;-1;-1.0000;-1;"U";10349591;-1
rec;10349592;0.0;0;16.3314650;48.2022184;-1;-1.0000;-1;"U";10349592;-1
rec;10349593;0.0;0;16.3266382;48.2018116;-1;-1.0000;-1;"U";10349593;-1
rec;10349594;0.0;0;16.3281724;48.2018332;-1;-1.0000;-1;"U";10349594;-1
rec;10349595;0.0;0;16.3298894;48.2018923;-1;-1.0000;-1;"U";10349595;-1
rec;10349596;0.0;0;16.3299458;48.2016107;-1;-1.0000;-1;"U";10349596;-1
rec;10349597;0.0;0;16.3315092;48.2016833;-1;-1.0000;-1;"U";10349597;-1
rec;10349598;0.0;0;16.3259294;48.2011303;-1;-1.0000;-1;"U";10349598;-1
rec;10349599;0.0;0;16.3267635;48.2011631;-1;-1.0000;-1;"U";10349599;-1
rec;10349600;0.0;0;16.3275584;48.2012261;-1;-1.0000;-1;"U";10349600;-1
rec;10349601;0.0;0;16.3283128;48.2012829;-1;-1.0000;-1;"U";10349601;-1
rec;10349602;0.0;0;16.3299923;48.2014067;-1;-1.0000;-1;"U";10349602;-1
rec;10349606;0.0;0;16.3261663;48.2001411;-1;-1.0000;-1;"U";10349606;-1
rec;10349607;0.0;0;16.3264028;48.2001665;-1;-1.0000;-1;"U";10349607;-1
rec;10349608;0.0;0;16.3270955;48.2002468;-1;-1.0000;-1;"U";10349608;-1
rec;10349609;0.0;0;16.3278528;48.2003920;-1;-1.0000;-1;"U";10349609;-1
rec;10349610;0.0;0;16.3286082;48.2005365;-1;-1.0000;-1;"U";10349610;-1
rec;10349611;0.0;0;16.3291489;48.2006366;-1;-1.0000;-1;"U";10349611;-1
rec;10349612;0.0;0;16.3302036;48.2008406;-1;-1.0000;-1;"U";10349612;-1
rec;10349613;0.0;0;16.3315509;48.2011004;-1;-1.0000;-1;"U";10349613;-1
rec;10349630;0.0;0;16.3254287;48.1993660;-1;-1.0000;-1;"U";10349630;-1
rec;10349632;0.0;0;16.3266276;48.1997027;-1;-1.0000;-1;"U";10349632;-1
rec;10349633;0.0;0;16.3272733;48.1998759;-1;-1.0000;-1;"U";10349633;-1
rec;10349649;0.0;0;16.3266220;48.1991154;-1;-1.0000;-1;"U";10349649;-1
rec;10349650;0.0;0;16.3282785;48.1995731;-1;-1.0000;-1;"U";10349650;-1
rec;10349651;0.0;0;16.3284897;48.1996298;-1;-1.0000;-1;"U";10349651;-1
rec;10349652;0.0;0;16.3295165;48.1999177;-1;-1.0000;-1;"U";10349652;-1
rec;10349653;0.0;0;16.3305478;48.2002078;-1;-1.0000;-1;"U";10349653;-1
rec;10349654;0.0;0;16.3316043;48.2005012;-1;-1.0000;-1;"U";10349654;-1
rec;10349655;0.0;0;16.3291617;48.1985468;-1;-1.0000;-1;"U";10349655;-1
rec;10349656;0.0;0;16.3301937;48.1988284;-1;-1.0000;-1;"U";10349656;-1
rec;10349657;0.0;0;16.3312330;48.1991123;-1;-1.0000;-1;"U";10349657;-1
rec;10349664;0.0;0;16.3298586;48.2024756;-1;-1.0000;-1;"U";10349664;-1
rec;10349665;0.0;0;16.3304476;48.2028159;-1;-1.0000;-1;"U";10349665;-1
rec;10349666;0.0;0;16.3303521;48.2021779;-1;-1.0000;-1;"U";10349666;-1
rec;10349669;0.0;0;16.3314040;48.2031486;-1;-1.0000;-1;"U";10349669;-1
rec;10349670;0.0;0;16.3320222;48.2031643;-1;-1.0000;-1;"U";10349670;-1
rec;10349672;0.0;0;16.3365609;48.2061884;-1;-1.0000;-1;"U";10349672;-1
rec;10349673;0.0;0;16.3373709;48.2061535;-1;-1.0000;-1;"U";10349673;-1
rec;10349674;0.0;0;16.3397120;48.2060467;-1;-1.0000;-1;"U";10349674;-1
rec;10349675;0.0;0;16.3430968;48.2058172;-1;-1.0000;-1;"U";10349675;-1
rec;10349676;0.0;0;16.3367514;48.2041835;-1;-1.0000;-1;"U";10349676;-1
rec;10349677;0.0;0;16.3375380;48.2042127;-1;-1.0000;-1;"U";10349677;-1
rec;10349678;0.0;0;16.3400347;48.2043161;-1;-1.0000;-1;"U";10349678;-1
rec;10349679;0.0;0;16.3431399;48.2043137;-1;-1.0000;-1;"U";10349679;-1
rec;10349680;0.0;0;16.3370223;48.2015372;-1;-1.0000;-1;"U";10349680;-1
rec;10349681;0.0;0;16.3378422;48.2016409;-1;-1.0000;-1;"U";10349681;-1
rec;10349682;0.0;0;16.3377943;48.1995177;-1;-1.0000;-1;"U";10349682;-1
rec;10349683;0.0;0;16.3383571;48.2001312;-1;-1.0000;-1;"U";10349683;-1
rec;10349684;0.0;0;16.3380519;48.2009206;-1;-1.0000;-1;"U";10349684;-1
rec;10349685;0.0;0;16.3379516;48.2012005;-1;-1.0000;-1;"U";10349685;-1
rec;10349686;0.0;0;16.3377597;48.2021202;-1;-1.0000;-1;"U";10349686;-1
rec;10349687;0.0;0;16.3376763;48.2026888;-1;-1.0000;-1;"U";10349687;-1
rec;10349688;0.0;0;16.3374151;48.2055122;-1;-1.0000;-1;"U";10349688;-1
